sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
1,5,13,1440.57,444.47,1381.48,1.33
2,6,20,1125.34,531.04,1062.68,1.35
3,9,3,901.89,198.16,878.76,1.26
4,6,9,2757.13,467.44,2716.74,1.19
5,4,22,1111.97,656.62,1029.94,1.41
6,8,12,1781.58,609.61,1675.14,1.43
7,9,19,1116.92,436.53,1053.76,1.39
8,4,0,1272.61,380.66,1218.69,1.34
9,6,14,1472.63,490.91,1388.2,1.42
10,6,3,785.5,280.11,747.07,1.36
11,8,17,1205.43,460.76,1121.3,1.47
12,15,1,446.4,220.08,392.82,1.71
13,12,23,1235.3,467.3,1171.34,1.36
14,45,6,3428.65,892.32,3302.77,1.33
15,22,12,1868.2,505.47,1808,1.28
16,23,19,2143.1,390.88,2108.5,1.2
17,18,16,982.97,335.56,931.52,1.38
18,29,23,797.92,253.63,761.92,1.35
19,12,1,867.43,285.66,824.38,1.37
20,63,8,1527.87,453.62,1466.72,1.33
21,33,8,1909.26,425.1,1864.71,1.24
22,13,8,1153.17,288,1119.54,1.27
23,14,15,2467.33,678.38,2385.37,1.29
